videoproto 2.3.2-1
vim-runtime 7.4.307-4
vimprobable2 1.4.2-1
virtualbox 4.3.12-1
virtualbox-host-modules 4.3.12-3
vpnc 0.5.3.svn527-2
wayland 1.5.0-1
webkitgtk2 2.4.3-1
webrtc-audio-processing 0.1-2
wget 1.15-1
which 2.20-6
wine 1.7.19-3
wireless_tools 30.pre9-1
wmname 0.1-2
wpa_supplicant 2.1-3
wyrd 1.4.6-1
x264 1:142.20140311-4
x265 1.1-1
xapian-core 1:1.2.17-2
xautomation 1.05-3
xaw3d 1.6.2-2
xbitmaps 1.1.1-2
xcb-proto 1.10-2
xcb-util 0.3.9-1
xcb-util-cursor-git 39-1
xcb-util-image 0.3.9-1
xcb-util-keysyms 0.3.9-1
xcb-util-renderutil 0.3.8-1
xcb-util-wm 0.4.1-1
xclip 0.12-3
xcompmgr 1.1.6-2
xdg-utils 1.1.0.git20140426-1
xdotool 2.20110530.1-3
xextproto 7.3.0-1
xf86-input-evdev 2.9.0-1
xf86-input-synaptics 1.8.0-1
xf86-video-intel 2.99.911-2
xf86dgaproto 2.1-2
xf86vidmodeproto 2.3.1-2
xfsprogs 3.1.11-2
xine-lib 1.2.5-1
xineramaproto 1.2.1-2
xkeyboard-config 2.12-1
xorg-bdftopcf 1.0.4-1
xorg-font-util 1.3.0-1
xorg-font-utils 7.6-3
xorg-fonts-100dpi 1.0.1-4
xorg-fonts-75dpi 1.0.3-1
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-3
xorg-fonts-misc 1.0.1-2
xorg-fonts-type1 7.4-2
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-1
xorg-mkfontscale 1.1.1-1
xorg-server 1.15.1-1
xorg-server-common 1.15.1-1
xorg-server-xephyr 1.15.1-1
xorg-server-xvfb 1.15.1-1
xorg-sessreg 1.0.8-1
xorg-setxkbmap 1.3.0-1
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xdm 1.1.11-4
xorg-xdpyinfo 1.3.1-1
xorg-xev 1.2.1-1
xorg-xgamma 1.0.5-1
xorg-xhost 1.0.6-1
xorg-xinit 1.3.3-3
xorg-xinput 1.6.1-1
xorg-xkbcomp 1.2.4-1
xorg-xlsfonts 1.0.4-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.4.2-1
xorg-xrdb 1.1.0-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-1
xorg-xwininfo 1.1.3-1
xproto 7.0.26-1
xsel 1.2.0-5
xterm 304-1
xvidcore 1.3.3-1
xz 5.0.5-2
yajl 2.1.0-1
yaourt 1.3-1
zenity 3.12.1-2
zeromq 4.0.4-3
zip 3.0-3
zlib 1.2.8-3
zsh 5.0.5-1
zziplib 0.13.62-2
